"","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Russian Federation","Romania","Zimbabwe","Qatar","Guinea-Bissau","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Solomon Islands","Belize","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"Venezuela (Bolivarian Republic of)","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Uzbekistan","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Uruguay","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"United States of America","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Ukraine","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"United Kingdom","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Uganda","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"United Arab Emirates","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Turkey","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
"Trinidad and Tobago","     0.00","    0.000","0.000000e+00","0","0","    0.0000","  0.00000","  0.00000","     0.0000","  0.0000","0"," 0.000000","  0.0000","     0.00000","   0.000","  0.0000","0","0.000000e+00","  0.00000","   0.0000","   0.000","   0.00","0","   0.0000","  0.0000","  0.000000","0","0","  0.00000","0","0","   0.000000","   0.000","0","    0.00000","0.000000","0","0","  0.0000","0","0","0","0.000000e+00","0","0","0","0","0.000000","0","0","  0.0000","   0.00000","0","0","0","0.000000","0","  0.00000","0","0","0","      0.000","0","0","0","    0.00","     0.00","0","0","  0.000000","0.000000e+00"," 0.00000","0","0","0","0.000000e+00","0","   0.000","     0.0000","0","0","      0.000","  0.0000"," 0.00000","0","  0.000000","0","     0.0","0","0","0.000000e+00","0","0","0","0","0","    0.00","0.000000e+00","    0.00","  0.0000","0","    0.0000","0","0","    0.00","0","0","0","0","  0.0000","   0.000","    0.0000","0","0","     0.0000","  0.00000","0"," 0.00000","0","0","0"
